,Country,Region,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Code_x,ltrs of pure alcohol consumed,Code_y,Year,Alcohol disorder
0,Denmark,Western Europe,1,7.526,7.46,7.5920000000000005,1.4417799999999998,1.16374,0.79504,0.5794100000000001,0.44453000000000004,0.36171,2.73939,DNK,10.4,DNK,2016,1.74720569795
1,Switzerland,Western Europe,2,7.5089999999999995,7.428,7.59,1.5273299999999999,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,CHE,11.5,CHE,2016,1.37872859024
2,Iceland,Western Europe,3,7.501,7.332999999999999,7.669,1.42666,1.18326,0.8673299999999999,0.56624,0.14975,0.47678000000000004,2.83137,ISL,9.1,ISL,2016,1.2400829906400002
3,Norway,Western Europe,4,7.497999999999999,7.421,7.575,1.57744,1.1269,0.79579,0.59609,0.35775999999999997,0.37895,2.66465,NOR,7.5,NOR,2016,1.4222417925
4,Finland,Western Europe,5,7.412999999999999,7.351,7.475,1.40598,1.1346399999999999,0.81091,0.57104,0.41003999999999996,0.25492,2.82596,FIN,10.7,FIN,2016,2.6577338294599997
5,Netherlands,Western Europe,7,7.3389999999999995,7.284,7.394,1.46468,1.02912,0.8123100000000001,0.55211,0.29927,0.47416,2.70749,NLD,8.7,NLD,2016,0.7650797331360001
6,Sweden,Western Europe,10,7.291,7.227,7.355,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,SWE,9.2,SWE,2016,1.6598606891
7,Austria,Western Europe,12,7.119,7.045,7.193,1.45038,1.0838299999999998,0.80565,0.54355,0.21348000000000003,0.32865,2.6934299999999998,AUT,11.6,AUT,2016,1.8558084796599998
8,Germany,Western Europe,16,6.994,6.93,7.058,1.44787,1.09774,0.81487,0.53466,0.28551,0.30451999999999996,2.5093099999999997,DEU,13.4,DEU,2016,1.8747907869599998
9,Belgium,Western Europe,18,6.928999999999999,6.861000000000001,6.997000000000001,1.42539,1.05249,0.8195899999999999,0.51354,0.26248,0.2424,2.61355,BEL,12.1,BEL,2016,1.4607822276499998
10,Ireland,Western Europe,19,6.907,6.836,6.978,1.4834100000000001,1.16157,0.81455,0.54008,0.29754,0.44963000000000003,2.15988,IRL,13.0,IRL,2016,2.11827516735
11,Luxembourg,Western Europe,20,6.871,6.803999999999999,6.938,1.6975200000000001,1.03999,0.8454200000000001,0.5487,0.35329,0.27571,2.11055,LUX,13.0,LUX,2016,1.3584561187100002
12,United Kingdom,Western Europe,23,6.725,6.647,6.803,1.40283,1.0867200000000001,0.80991,0.50036,0.27399,0.50156,2.1499900000000003,GBR,11.4,GBR,2016,1.90752423992
13,Malta,Western Europe,30,6.4879999999999995,6.409,6.567,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,1.99032,MLT,8.1,MLT,2016,1.1093099488200002
14,France,Western Europe,32,6.478,6.397,6.559,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,2.4744,FRA,12.6,FRA,2016,1.44036151229
15,Spain,Western Europe,37,6.361000000000001,6.287999999999999,6.434,1.34253,1.12945,0.8789600000000001,0.37545,0.06137000000000001,0.17665,2.39663,ESP,10.0,ESP,2016,0.8907937464279999
16,Italy,Western Europe,50,5.977,5.898,6.056,1.35495,1.04167,0.8510200000000001,0.18827,0.02556,0.16684000000000002,2.34918,ITA,7.5,ITA,2016,0.464585202938
17,Cyprus,Western Europe,69,5.546,5.442,5.65,1.31857,0.70697,0.8488,0.29507,0.05227999999999999,0.27906,2.04497,CYP,10.8,CYP,2016,1.11219488699
18,Portugal,Western Europe,94,5.122999999999999,5.03,5.216,1.27607,0.9436700000000001,0.7936300000000001,0.44727,0.01521,0.11690999999999999,1.53015,PRT,12.3,PRT,2016,1.26996551604
19,Greece,Western Europe,99,5.033,4.935,5.131,1.24886,0.75473,0.80029,0.05822000000000001,0.04127,0.0,2.12944,GRC,10.4,GRC,2016,1.12855578664
