,Country,Happiness Score,Social support,Freedom,Generosity,Perceptions of corruption,GDP per capita,Healthy Life expectancy,Year,Code_x,% people with anxiety,Code_y,% people with depression,Code_x,Deaths per 100k ind,Code_y,% of alcoholic people
0,Norway,7.537000179290769,1.53352355957031,0.635422587394714,0.36201223731041,0.31596383452415505,1.61646318435669,0.796666502952576,2017,NOR,7.58550276017,NOR,3.771910369950001,NOR,9.268806467896844,NOR,1.4190025310699999
1,Denmark,7.52199983596802,1.55112159252167,0.626006722450256,0.3552804887294771,0.40077006816864,1.48238301277161,0.7925655245780941,2017,DNK,5.31463454993,DNK,3.29188532482,DNK,8.800279746370906,DNK,1.7307231327300001
2,Iceland,7.50400018692017,1.6105740070343,0.6271626353263849,0.475540220737457,0.15352655947208402,1.480633020401,0.8335521221160892,2017,ISL,5.29098780078,ISL,3.36166521168,ISL,9.608335242813077,ISL,1.24902859246
3,Switzerland,7.49399995803833,1.51691174507141,0.620070576667786,0.29054927825927696,0.3670072853565221,1.5649795532226598,0.858131289482117,2017,CHE,5.35939314075,CHE,3.70805973731,CHE,9.316062337467498,CHE,1.3796903016
4,Finland,7.468999862670901,1.5402467250824,0.6179508566856379,0.24548277258873,0.38261154294014,1.44357192516327,0.80915766954422,2017,FIN,3.7520618777999997,FIN,4.79273560626,FIN,12.944946735431664,FIN,2.6050609017400004
5,Netherlands,7.3769998550415,1.42893922328949,0.5853844881057739,0.470489829778671,0.282661825418472,1.50394463539124,0.8106961250305179,2017,NLD,6.62024219421,NLD,4.026854403440001,NLD,9.16910618721181,NLD,0.7766024846520001
6,Sweden,7.28399991989136,1.47816216945648,0.612924098968506,0.38539925217628496,0.384398728609085,1.49438726902008,0.830875158309937,2017,SWE,5.293836610990001,SWE,4.48791099421,SWE,11.076735528307587,SWE,1.5865878354399998
7,Austria,7.00600004196167,1.4599449634552,0.567766189575195,0.316472321748734,0.22106036543846105,1.48709726333618,0.8153284192085269,2017,AUT,5.341275395249999,AUT,3.2609699942000003,AUT,11.202156990304275,AUT,1.82406509366
8,Ireland,6.977000236511231,1.55823111534119,0.5731103420257571,0.42785832285881,0.2983881533145901,1.5357066392898602,0.8097826242446899,2017,IRL,5.83909248469,IRL,4.25092099742,IRL,8.374148078138807,IRL,2.10984790514
9,Germany,6.9510002136230495,1.47252035140991,0.562511384487152,0.33626917004585305,0.276731938123703,1.48792338371277,0.798950731754303,2017,DEU,6.540495803400001,DEU,3.95986609184,DEU,9.917417031361751,DEU,1.80647468292
