,Country,Happiness Score,Social support,Freedom,Generosity,Perceptions of corruption,GDP per capita,Healthy Life expectancy,% people with anxiaty,% people with depression,Deaths per 100k ind,% of alcoholic people
0,Austria,7.108333347320556,1.2802716544850667,0.5785487298583983,0.3253341072495781,0.2071001218128204,1.42490242111206,0.8371328064028424,5.34267916143,3.2625375710699998,11.464393076203685,1.8544152831
1,Belgium,6.91899993133545,1.2668208994547532,0.5459369074630737,0.2321344458738963,0.24640771035512302,1.3989969202550272,0.8447839564514159,5.21058060229,4.109729882673332,14.5357069370495,1.4609655194966666
2,Cyprus,5.618666604359944,0.91050442422231,0.3523005131212871,0.2855647670237223,0.0516593254673481,1.2942126923243198,0.8723582337252299,5.305269453833334,3.314905470693333,4.655843253595815,1.1119506583799998
3,Denmark,7.524999945322674,1.3584805308405563,0.6182655741500854,0.3527934962431591,0.4429566893895467,1.4165476709238698,0.8207485081926981,5.3150540297566655,3.2862775599533336,8.638110887673411,1.74630886745
4,Finland,7.429333287556967,1.3310489083608,0.6102269522285461,0.24463759086291,0.4021238476467133,1.3799339750544233,0.8363925565147401,3.7508986478499993,4.825395340436668,12.762536936489658,2.65555477337
5,France,6.49833330408732,1.2177456172180168,0.4953173718388877,0.12489410226980835,0.185680809431076,1.3678611539713532,0.8760686172612507,6.632070000646666,4.277097200736666,12.636168608380315,1.4390608092033332
6,Germany,6.898333404541018,1.2898767838033034,0.5706471281623839,0.30764305668195097,0.26022397937456765,1.4212377945709234,0.8352269105847676,6.5517484048400005,3.9518901283599996,9.837826928897133,1.8694812774333331
7,Greece,5.039000078837077,0.9744915242385866,0.07698041698058447,0.0,0.032843258963823334,1.23080249370575,0.8308729676946003,5.794487800453335,4.208628954473332,3.5724574838562035,1.1281885423
8,Iceland,7.522000062306724,1.3986880023447668,0.6073908784421284,0.4628734069124858,0.14824218649069465,1.403204340133667,0.8829073740386963,5.29278225114,3.3608544740033337,9.760969375787633,1.24019868694
9,Ireland,6.941333412170412,1.3630937051137297,0.5769867806752523,0.4454994409529367,0.2943193844381967,1.45169221309662,0.8398875414148966,5.8366749402466676,4.2689832724266665,8.493623448852716,2.11728130368
10,Italy,5.96300007502238,1.2281210938898734,0.23569357089360565,0.1892865493917467,0.02753269713858764,1.3337188729731235,0.8862081158892314,5.628314599866667,3.460950498593333,4.9182037477385485,0.4644079978133333
11,Luxembourg,6.893333305358888,1.2390678886159268,0.5870526303545632,0.27974366062482203,0.3500348080062867,1.667791199264527,0.8698164983940124,5.316597853966666,3.616439653226667,8.80977724657259,1.35838093362
12,Malta,6.438999983469646,1.29641055498759,0.5807856838989257,0.5515401916948953,0.15482202296257033,1.2861666128540037,0.8374347455851238,5.31745981581,3.36039519934,4.461659185586828,1.1092688762266667
13,Netherlands,7.364666618347165,1.2460764077631634,0.5844181627019246,0.4735832765928904,0.3000239418061574,1.43268821179708,0.8386153750101727,6.599359179856666,4.028124060806668,9.232707359494338,0.7654212503143335
14,Norway,7.519000059763589,1.3304578531901032,0.6337475291315714,0.3626507457701367,0.3462512781747183,1.5509677281188967,0.8258888343175252,7.590860724383331,3.7257816189066673,9.267756669678768,1.4220471164666666
15,Portugal,5.140000057220459,1.1500210061136869,0.4868084332021077,0.1164009041706721,0.013953150562246634,1.2503850982920337,0.8215545138740541,5.381124005386667,4.492525989146667,7.702596379038303,1.2697761140600001
16,Spain,6.364333292643231,1.325110300776163,0.4145804101498924,0.18301785720825198,0.06542136571009954,1.3190126214472466,0.9078468666330974,5.279283968173333,3.5226265434466666,5.650798013269906,0.8903047413393333
17,Sweden,7.312999973297122,1.284957389818827,0.6183013663228354,0.3768530840587616,0.4105029095363617,1.42596908967336,0.8576517194366456,5.295359735423333,4.500591637596667,11.314970065966198,1.6558750557033333
18,Switzerland,7.5299999860127755,1.33722058169047,0.6237368588892621,0.2893864260864257,0.3996057617855074,1.4962731844075534,0.8875304298273723,5.35744285394,3.7147340338566672,9.571510706656197,1.3790000616933331
19,United Kingdom,6.768666741689048,1.28955336004893,0.5349333452733357,0.5044847195720673,0.28669602208455397,1.3702779799143467,0.8415586463101703,4.653082152243333,4.1221480213633335,7.332538910782639,1.9063129844266669
